file,type,test_file,tokens_per_sample,tokens_per_surface_char,tokens_per_original_char,total_tokens,total_chars,total_original_chars,morph_score,valid_tokens,checked_tokens,invalid_tokens,skipped_punctuation_tokens,overlap,chars_per_token,bytes_per_token,chars_per_byte,bytes_per_original_char
chinese_origin_subset100k_superbpe_16000,origin,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/chinese_origin_中国_test10.txt,370.89078212499345,0.6459307797335733,0.6459307797335733,49607013,76799271,76799271,0.8500740700890579,16875792,19852143,2976351,8539804,0.0,1.5481535040216996,3.9829726494518023,0.3886929789072943,2.5727246291178987
chinese_origin_subset100k_superbpe_32000,origin,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/chinese_origin_中国_test10.txt,338.6685557491159,0.5898136454967131,0.5898136454967131,45297258,76799271,76799271,0.863084561612057,18469484,21399391,2929907,7958225,0.0,1.695450770993688,4.361927955992392,0.3886929789072943,2.5727246291178987
chinese_origin_subset100k_superbpe_64000,origin,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/chinese_origin_中国_test10.txt,312.79349687105145,0.5447505224365997,0.5447505224365997,41836443,76799271,76799271,0.8687006660407037,19274455,22187683,2913228,7653088,0.0,1.83570269107247,4.722757525060149,0.3886929789072943,2.5727246291178987
chinese_origin_subset100k_superbpe_8000,origin,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/chinese_origin_中国_test10.txt,411.58771897032545,0.7168071816723365,0.7168071816723365,55050269,76799271,76799271,0.830505099771809,14306579,17226359,2919780,9747153,0.0,1.3950753083513543,3.589144605269776,0.3886929789072943,2.5727246291178987
pinyin_diacritic_subset100k_superbpe_16000,diacritic,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_diacritic_spaced_test10.txt,404.2669138922326,0.2030509153424978,0.7040575163792896,54071104,266293328,76799271,0.9809287189072529,41532777,42340260,807483,9558014,0.0,4.92487314481317,6.022256989611309,0.8177786423443603,4.240015299103555
pinyin_diacritic_subset100k_superbpe_32000,diacritic,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_diacritic_spaced_test10.txt,371.01726342232956,0.1863506321119694,0.6461510552619699,49623930,266293328,76799271,0.9761395085790489,37973704,38901923,928219,9286205,0.0,5.366228108092205,6.561956781738165,0.8177786423443603,4.240015299103555
pinyin_diacritic_subset100k_superbpe_64000,diacritic,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_diacritic_spaced_test10.txt,343.0075662985697,0.17228221729986415,0.5973703187885728,45877605,266293328,76799271,0.9713636603852617,34739102,35763230,1024128,9120866,0.0,5.804429590428707,7.097800419180556,0.8177786423443603,4.240015299103555
pinyin_diacritic_subset100k_superbpe_8000,diacritic,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_diacritic_spaced_test10.txt,450.68419675366914,0.22636489788433603,0.7848962785076437,60279462,266293328,76799271,0.9806225465410706,46519398,47438638,919240,9548959,0.0,4.417646063264466,5.402007138019911,0.8177786423443603,4.240015299103555
pinyin_toned_subset100k_superbpe_16000,toned,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toned_spaced_test10.txt,404.57153965204,0.16760080975280128,0.7045880422484739,54111848,322861495,76799271,0.9807453839959049,41697205,42515831,818626,9562171,0.0,5.966558284980398,6.017445347643644,0.9915434109122118,4.2398200368334225
pinyin_toned_subset100k_superbpe_32000,toned,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toned_spaced_test10.txt,371.02219796487503,0.15370241037879107,0.6461596490935442,49624590,322861495,76799271,0.9761646729131598,38049914,38978991,929077,9292873,0.0,6.506078841155161,6.561567319750148,0.9915434109122118,4.2398200368334225
