corpus,vocab,tokenizer,fertility_sent,fertility_char,dict_match,boundary_f1,char_per_token,bytes_per_token
chinese_origin,8k,chinese_origin_8k_train90.json,560.1826827462972,0.6259194479658189,,0.7093465081709811,1.5976496708161232,3.18944172354555
chinese_origin,16k,chinese_origin_16k_train90.json,560.1826827462972,0.6259194479658189,,0.7093465081709811,1.5976496708161232,3.18944172354555
chinese_origin,32k,chinese_origin_32k_train90.json,393.50437753736423,0.43968164376810737,0.7880601364522054,0.8903195183185957,2.274372865398516,4.540406976766279
chinese_origin,64k,chinese_origin_64k_train90.json,354.3553917353889,0.3959385714877174,0.7645562751165876,0.939730122164796,2.525644309526488,5.042028604133381
pinyin_diacritic,8k,pinyin_diacritic_8k_train90.json,710.7117554261276,0.39963305789412823,,0.6115472647437044,2.5022954939451543,3.1221293754467254
pinyin_diacritic,16k,pinyin_diacritic_16k_train90.json,400.1211579726507,0.22498803582174648,,0.8830761966272141,4.444680786458708,5.545655371823381
pinyin_diacritic,32k,pinyin_diacritic_32k_train90.json,364.5479510433567,0.2049852296830882,,0.926266782856122,4.878400270819623,6.086809822248371
pinyin_diacritic,64k,pinyin_diacritic_64k_train90.json,344.88535412819346,0.19392895592462903,,0.9526740547286531,5.156527529538459,6.433830902156683
pinyin_toned,8k,pinyin_toned_8k_train90.json,748.7847492729027,0.33815476944190287,,0.59202636348271,2.957225774607347,2.984720267931403
pinyin_toned,16k,pinyin_toned_16k_train90.json,402.13697841511464,0.1816069803131975,,0.8838140896964575,5.506396275492332,5.557591411466093
pinyin_toned,32k,pinyin_toned_32k_train90.json,366.527704465761,0.1655256621052213,,0.9268391249896292,6.041359311188379,6.097528209307681
pinyin_toned,64k,pinyin_toned_64k_train90.json,346.94514433536943,0.15668208441162523,,0.9531086284254434,6.382350629015526,6.441689857784609
pinyin_toneless,8k,pinyin_toneless_8k_train90.json,575.3026145598911,0.3246076371580884,,0.6997045701947694,3.080642244757126,3.116535940832232
pinyin_toneless,16k,pinyin_toneless_16k_train90.json,384.78959409649275,0.21711293809821416,,0.8993990045145859,4.60589778186151,4.659562791297935
pinyin_toneless,32k,pinyin_toneless_32k_train90.json,352.1486717856315,0.1986956870761673,,0.9412067875912853,5.032821873061913,5.091461132138252
pinyin_toneless,64k,pinyin_toneless_64k_train90.json,335.40201568586406,0.18924658615212014,,0.9647987278619585,5.284111171211196,5.345678294342521
