tokenizer,type,tokens_per_sentence,tokens_per_char,morphological_coherence,cross_lingual_overlap,chars_per_token,bytes_per_token
chinese_origin_32k_train90.json,origin,393.50437753736423,0.43968164376810737,,0.19034375,2.274372865398516,4.540406976766279
pinyin_toneless_16k_train90.json,toneless,384.78959409649275,0.21711293809821416,0.9223542469412644,0.3143125,4.60589778186151,4.659562791297935
pinyin_diacritic_8k_train90.json,diacritic,710.7117554261276,0.39963305789412823,0.791195699246572,0.05625,2.5022954939451543,3.1221293754467254
pinyin_toneless_32k_train90.json,toneless,352.1486717856315,0.1986956870761673,0.8965866215502039,0.2448125,5.032821873061913,5.091461132138252
chinese_origin_16k_train90.json,origin,560.1826827462972,0.6259194479658189,,0.05392783187205358,1.5976496708161232,3.18944172354555
pinyin_diacritic_64k_train90.json,diacritic,344.88535412819346,0.19392895592462903,0.8606635658119294,0.189015625,5.156527529538459,6.433830902156683
pinyin_toneless_8k_train90.json,toneless,575.3026145598911,0.3246076371580884,0.9583442893507511,0.059875,3.080642244757126,3.116535940832232
pinyin_toned_64k_train90.json,toned,346.94514433536943,0.15668208441162523,0.7862384958662358,0.157828125,6.382350629015526,6.441689857784609
pinyin_diacritic_16k_train90.json,diacritic,400.1211579726507,0.22498803582174648,0.9132444330102539,0.3460625,4.444680786458708,5.545655371823381
chinese_origin_64k_train90.json,origin,354.3553917353889,0.3959385714877174,,0.15528125,2.525644309526488,5.042028604133381
pinyin_toned_8k_train90.json,toned,748.7847492729027,0.33815476944190287,0.6464841627047682,0.053125,2.957225774607347,2.984720267931403
pinyin_toned_16k_train90.json,toned,402.13697841511464,0.1816069803131975,0.8517133487557028,0.31925,5.506396275492332,5.557591411466093
pinyin_toned_32k_train90.json,toned,366.527704465761,0.1655256621052213,0.8163738673151042,0.2495,6.041359311188379,6.097528209307681
pinyin_diacritic_32k_train90.json,diacritic,364.5479510433567,0.2049852296830882,0.8859279608216039,0.291375,4.878400270819623,6.086809822248371
chinese_origin_8k_train90.json,origin,560.1826827462972,0.6259194479658189,,0.05392783187205358,1.5976496708161232,3.18944172354555
pinyin_toneless_64k_train90.json,toneless,335.40201568586406,0.18924658615212014,0.8742279248298442,0.154328125,5.284111171211196,5.345678294342521
